17bcf30,Seweje Damilola John,2 days ago,Merge pull request #9 from Frost199/home-page
96b7a26,Seweje Damilola John,2 days ago,Merge pull request #8 from AbdussamiG/patch-6
6978c59,Frost199,2 days ago,Merge branch 'homepage' of https://github.com/Dami-js/Team-Incredible-BE into home-page
243da62,AbdussamiG,2 days ago,update to the navbar style.css file
36bebd0,Seweje Damilola John,2 days ago,Merge pull request #7 from AbdussamiG/patch-5
3d6b198,robertechie,2 days ago,Merge pull request #25 from ogunsoladebayo/develop
d7588fc,AbdussamiG,2 days ago,update to the navbar html code
9c29e26,Frost199,2 days ago,fix: Proper rendering of navbar
b1bb09c,sjdammy,2 days ago,removed uneccessary pages folder
7123ee0,Seweje Damilola John,2 days ago,Merge pull request #6 from AbdussamiG/master
2113a46,Ogunsola,2 days ago,updating about page
6f97472,Ogunsola,2 days ago,Merge remote-tracking branch 'upstream/develop' into develop
206d2db,AbdussamiG,2 days ago,the style.css code for the navbar
2653b6d,AbdussamiG,2 days ago,the index.html code for the navbar
ee63b77,Timothy Mayor,2 days ago,Merge pull request #24 from youngGaf/master
6cfbb58,Timothy Mayor,2 days ago,Merge pull request #23 from Hybee22/hybee-test
9854073,youngGaf,2 days ago,Commit on unit login test by Gafar_01
1ec6434,Anthony Anonde,2 days ago,Merge pull request #22 from Olanetsoft/new-branch
7432089,Ogunsola,2 days ago,updating about page
edfa3c5,sjdammy,2 days ago,removed duplicated styles
553711b,Seweje Damilola John,2 days ago,Merge pull request #3 from Frost199/home-page
78200dd,Ibrahim Adekunle,2 days ago,test: adding test for signup functionality
afed0a7,Frost199,2 days ago,Merge branch 'homepage' of https://github.com/Dami-js/Team-Incredible-BE into home-page
2e02099,olanetsoft,2 days ago,Updated Readme with Postman Login result- Conflict Fixed
52102dc,tonymj76,2 days ago,hot fix
3b7ca40,tonymj76,2 days ago,add urlendcoded
3a9daed,olanetsoft,2 days ago,Updated Pages Folder with Login and register page
5a9477a,tonymj76,2 days ago,add urlencoded
a50ff91,robertechie,2 days ago,Merge pull request #21 from ogunsoladebayo/develop
97107a6,Ogunsola,2 days ago,added about page rendering, setup about page and ejs partials
43b86bd,Frost199,2 days ago,Merge branch 'develop' of https://github.com/hngi/Team-Incredible-BE into git-ignore
a8f88c0,Ogunsola,2 days ago,added about page rendering, setup about page and ejs partials
a1ec320,Anthony Anonde,2 days ago,Merge pull request #20 from Olanetsoft/new-branch
73854fd,olanetsoft,2 days ago,Updated Readme with Postman SignUp result
54789bf,Anthony Anonde,2 days ago,Merge pull request #19 from Olanetsoft/new-branch
fc90b13,Anthony Anonde,2 days ago,Merge pull request #18 from sixpathdev/develop
19848de,olanetsoft,2 days ago,Updated Readme with Postman Login result
4dcba1e,sjdammy,2 days ago,added images folder
